Product name ,Component ,Aluminum,Copper ,Steel ,Plastic ,Li-ion battery,PCB ,Flat panel glass,CRT glass ,Other glass,Other metals,Others,Total mass (g),Category
Samsung Epic 4G SPHD700 (2010),Main body,,5.2,0.9,28.9,32.1,14.1,,,,27,13.1,121.3,SMARTPHONE
 ZTE Z992 (2013),Display,7,,,3.7,,,7.9,,14.7,,,33.3,SMARTPHONE
 ZTE Z992 (2013),Main body,0.1,0.3,19.8,24.3,30.3,14.8,,,,,,89.6,SMARTPHONE
Samsung Duos GTI9082 (2013),Display,13.4,,,8.6,,0.6,12.4,,21.7,,,56.7,SMARTPHONE
Samsung Duos GTI9082 (2013),Main body,0.5,0.2,5.3,47.5,37.1,14,,,,,,104.6,SMARTPHONE
Motorola Moto_E XT1527 (2015),Display,7.5,,,5.4,,,7.8,,20.4,,,41.1,SMARTPHONE
Motorola Moto_E XT1527 (2015),Main body,1,1.4,4.9,28.5,39,26.3,,,,,,101.1,SMARTPHONE
Samsung Galaxy S6 SMG920V(2015),Display,0.4,,,,,,5.7,,20.2,,,26.3,SMARTPHONE
Samsung Galaxy S6 SMG920V(2015),Main body,20.2,2.35,3.6,15.05,39,17.6,,,,,14.6,112.4,SMARTPHONE
Nest learning thermostat 1st generation 01A (2011),Base plate assembly,0.5,,0.2,34.4,,12.5,,,,,,47.6,THERMOSTAT
Nest learning thermostat 1st generation 01A (2011),Display back part ,0.6,0.3,5.4,33.5,,,,,,,,39.8,THERMOSTAT
Nest learning thermostat 1st generation 01A (2011),Display front part assembly,23.8,0.5,13.1,40.7,11.5,15.7,9.7,,,,0.4,115.4,THERMOSTAT
Nest learning thermostat 1st generation 01A (2011),Others components*,,,64.8,65.3,,,,,,,,130.1,THERMOSTAT
Ecobee 2nd generation EB-STATe3-02 (2015),Base plate assembly,,,3.0,36.6,,,,,,,,39.6,THERMOSTAT
Ecobee 2nd generation EB-STATe3-02 (2015),Display back part ,,,,16.1,,,,,,,,16.1,THERMOSTAT
Ecobee 2nd generation EB-STATe3-02 (2015),Display front part assembly,,1.1,0.8,47.8,3.1,43.4,18.0,,,,0.3,114.4,THERMOSTAT
Ecobee 2nd generation EB-STATe3-02 (2015),Sensor,,,1.9,15.5,3.1,5.5,,,,,,26.0,THERMOSTAT
Honeywell non-programmable RTH111B (approx. 2011),Base plate assembly,,,3.1,29.3,,,,,,,,32.4,THERMOSTAT
Honeywell non-programmable RTH111B (approx. 2011),Display back part ,,,4.4,17.8,,,,,,,,22.2,THERMOSTAT
Honeywell non-programmable RTH111B (approx. 2011),Display front part assembly,,,,39.5,,41.2,6.3,,,,1.8,88.8,THERMOSTAT
Honeywell programmable (unknown model) (approx. 2015),Base plate assembly,,,4.4,27.8,,,,,,,,32.2,THERMOSTAT
Honeywell programmable (unknown model) (approx. 2015),Display back part ,,,,17.8,,,,,,,,17.8,THERMOSTAT
Honeywell programmable (unknown model) (approx. 2015),Display front part assembly,,,,36.6,,43.9,9.2,,,,3.0,92.7,THERMOSTAT
Samsung Galaxy Tab GT-P7510 (2011),Battery ,,,0.3,,135,,,,,,,135.3,TABLET
Samsung Galaxy Tab GT-P7510 (2011),Casing ,,,,75,,,,,,,,75,TABLET
Samsung Galaxy Tab GT-P7510 (2011),Display ,,1.2,20,48.1,,6.7,55,,110,,1.2,242.2,TABLET
Samsung Galaxy Tab GT-P7510 (2011),Interior parts ,45,2.7,7.8,4.3,,2.7,,,,,0.3,62.8,TABLET
Samsung Galaxy Tab GT-P7510 (2011),Motherboard,,,,,,45,,,,,,45,TABLET
Samsung Galaxy Tab 4 SM-T530 (2014),Battery ,,,0.3,,125,,,,,,,125.3,TABLET
Samsung Galaxy Tab 4 SM-T530 (2014),Casing ,,,,65,,,,,,,1,66,TABLET
Samsung Galaxy Tab 4 SM-T530 (2014),Display ,,,20,43.5,,7.3,60,,90,,1.4,222.2,TABLET
Samsung Galaxy Tab 4 SM-T530 (2014),Interior parts ,,2.2,6.1,41.3,,2.4,,,,,0.2,52.2,TABLET
Samsung Galaxy Tab 4 SM-T530 (2014),Motherboard ,,,,,,26.2,,,,,,26.2,TABLET
Apple iPad 8GB 1st gen (2009),Battery ,,,,,129,,,,,,,129,TABLET
Apple iPad 8GB 1st gen (2009),Casing ,136,,3.1,12,,,,,,,,151.1,TABLET
Apple iPad 8GB 1st gen (2009),Display* ,,,,,,,154,,188,,,342,TABLET
Apple iPad 8GB 1st gen (2009),Interior parts ,1.2,1.1,,24.4,,,,,,,7.5,34.2,TABLET
Apple iPad 8GB 1st gen (2009),Motherboard ,,,9.4,,,20.1,,,,,,29.5,TABLET
"Panasonic Omnivision, PV 4920 (1990)",Disc drive,,26.0,"1,453.7",63.8,,63.2,,,,,,"1,606.7",VCR
"Panasonic Omnivision, PV 4920 (1990)",Interiror frame,,,,343.0,,69.0,,,,,,412.0,VCR
"Panasonic Omnivision, PV 4920 (1990)",Motherboard,,,,,,367.0,,,,,,367.0,VCR
"Panasonic Omnivision, PV 4920 (1990)",Outer case,,,970.3,257.0,,,,,,,,"1,227.3",VCR
"Panasonic Omnivision, PV 4920 (1990)",Power supply,,33.0,69.0,55.0,,91.0,,,,,,248.0,VCR
"LG 24"" 24MP56HA LED monitor (2014)",Casing,,,"1,108.0",623.0,,,,,,,,"1,731.0",LED MONITOR
"LG 24"" 24MP56HA LED monitor (2014)",Display,,,,488.0,,,468.0,,,,8.0,964.0,LED MONITOR
"LG 24"" 24MP56HA LED monitor (2014)",Interiors,,,10.8,,,15.0,,,,,7.0,32.8,LED MONITOR
"LG 24"" 24MP56HA LED monitor (2014)",Motherboard,,,,20.0,,67.0,,,,,,87.0,LED MONITOR
"LG 24"" 24MP56HA LED monitor (2014)",Stand,,,66.0,301.0,,,,,,,,367.0,LED MONITOR
"Dell 23"" S2316M LED monitor (2016)",Casing,,,744.0,523.0,,,,,,,,"1,267.0",LED MONITOR
"Dell 23"" S2316M LED monitor (2016)",Display,,,,451.0,,,439.0,,,,6.0,896.0,LED MONITOR
"Dell 23"" S2316M LED monitor (2016)",Interiors,17.0,2.5,255.0,2.5,,14.0,,,,,2.3,293.3,LED MONITOR
"Dell 23"" S2316M LED monitor (2016)",Motherboard,,,,,,64.0,,,,,,64.0,LED MONITOR
"Dell 23"" S2316M LED monitor (2016)",Stand,,,166.0,356.0,,,,,,,,522.0,LED MONITOR
